"","user_id","age","gender","profession","big5_openness","big5_conscientiousness","big5_extraversion","big5_agreeableness","big5_neuroticism"
"368","V0368",61,"Female","Service Worker",0.58,0.7,0.23,0.66,0.5
"369","V0369",36,"Male","Entrepreneur",0.57,0.74,0.45,0.34,0.31
"370","V0370",23,"Female","Sales",0.88,0.61,0.42,0.46,0.51
"371","V0371",61,"Female","Finance",0.27,0.35,0.54,0.56,0.47
"372","V0372",42,"Female","Student",0.64,0.62,0.72,0.73,0.5
"373","V0373",47,"Male","Scientist",0.64,0.74,0.62,0.7,0.67
"374","V0374",59,"Female","Manager",0.61,0.48,0.42,0.67,0.58
"375","V0375",56,"Female","Manager",0.81,0.61,0.5,0.54,0.68
"376","V0376",42,"Male","Sales",0.53,0.78,0.69,0.61,0.73
"377","V0377",19,"Female","Entrepreneur",0.6,0.73,0.64,0.6,0.52
"378","V0378",55,"Male","Service Worker",0.73,0.52,0.64,0.58,0.79
"379","V0379",26,"Female","Service Worker",0.55,0.81,0.25,0.49,0.43
"380","V0380",28,"Female","Student",0.6,0.53,0.48,0.57,0.37
"381","V0381",23,"Female","Service Worker",0.58,0.4,0.54,0.49,0.29
"382","V0382",48,"Female","Finance",0.69,0.49,0.8,0.7,0.76
"383","V0383",22,"Male","Finance",0.62,0.66,0.75,0.55,0.3
"384","V0384",31,"Female","Finance",0.49,0.68,0.34,0.61,0.44
"385","V0385",59,"Male","Service Worker",0.47,0.73,0.57,0.7,0.23
"386","V0386",64,"Male","Sales",0.59,0.72,0.49,0.67,0.59
"387","V0387",18,"Female","Sales",0.33,0.57,0.51,0.48,0.59
"388","V0388",58,"Male","Creative",0.64,0.59,0.3,0.33,0.51
"389","V0389",27,"Female","IT Specialist",0.42,0.52,0.36,0.57,0.42
"390","V0390",29,"Female","Medical",0.65,0.57,0.77,0.67,0.49
"391","V0391",39,"Female","Student",0.93,0.81,0.58,0.59,0.76
"392","V0392",18,"Male","Scientist",0.95,0.3,0.37,0.61,0.46
"393","V0393",60,"Female","Creative",0.63,0.78,0.18,0.63,0.33
"394","V0394",21,"Male","Manager",0.42,0.51,0.45,0.56,0.37
"395","V0395",20,"Male","Sales",0.76,0.5,0.68,0.55,0.09
"396","V0396",55,"Female","Service Worker",0.97,0.69,0.65,0.53,0.62
"397","V0397",22,"Male","Manager",0.57,0.41,0.31,0.61,0.24
"398","V0398",59,"Female","Creative",0.92,0.67,0.69,0.71,0.73
"399","V0399",37,"Female","IT Specialist",0.69,0.58,0.44,0.68,0.73
"400","V0400",51,"Male","Medical",0.44,0.58,0.5,0.56,0.64
"401","V0401",40,"Female","Scientist",0.48,0.48,0.42,0.65,0.24
"402","V0402",53,"Male","Student",0.77,0.66,0.58,0.53,0.23
"403","V0403",37,"Male","Creative",0.73,0.68,0.17,0.63,0.3
"404","V0404",26,"Male","Sales",0.61,0.46,0.68,0.46,0.26
"405","V0405",44,"Male","Finance",0.3,0.51,0.75,0.52,0.54
"406","V0406",63,"Male","IT Specialist",0.58,0.66,0.75,0.66,0.45
"407","V0407",63,"Male","Student",0.59,0.65,0.2,0.61,0.71
"408","V0408",20,"Female","Service Worker",0.45,0.28,0.27,0.65,0.59
"409","V0409",48,"Male","Student",0.66,0.57,0.42,0.69,0.64
"410","V0410",35,"Male","Finance",0.68,0.32,0.55,0.39,0.83
"411","V0411",27,"Male","Entrepreneur",0.53,0.67,0.49,0.51,0.52
"412","V0412",50,"Female","Entrepreneur",0.6,0.57,0.47,0.84,0.76
"413","V0413",57,"Male","Creative",0.68,0.5,0.38,0.31,0.32
"414","V0414",37,"Male","Sales",0.69,0.59,0.78,0.55,0.55
"415","V0415",54,"Male","Manager",0.44,0.49,0.8,0.59,0.39
"416","V0416",23,"Female","Manager",0.67,0.67,0.28,0.49,0.51
"417","V0417",46,"Female","Medical",0.59,0.63,0.34,0.59,0
"418","V0418",63,"Male","Scientist",0.49,0.31,0.36,0.63,0.3
"419","V0419",21,"Male","Sales",0.89,0.73,0.49,0.62,0.34
"420","V0420",44,"Male","Student",0.69,0.72,0.14,0.7,0.48
"421","V0421",26,"Female","Service Worker",0.78,0.65,0.46,0.79,0.11
"422","V0422",57,"Female","Student",0.53,0.77,0.37,0.57,0.39
"423","V0423",40,"Male","Sales",0.36,0.68,0.4,0.6,0.42
"424","V0424",65,"Male","IT Specialist",0.52,0.44,0.52,0.54,0.17
"425","V0425",43,"Female","Sales",0.75,0.33,0.19,0.64,0.18
"426","V0426",29,"Male","Creative",0.7,0.55,0.46,0.9,0.52
"427","V0427",27,"Male","Manager",0.9,0.94,0.32,0.61,0.66
"428","V0428",63,"Male","Finance",0.43,0.63,0.25,0.52,0.44
"429","V0429",60,"Female","Entrepreneur",0.55,0.33,0.29,0.62,0.83
"430","V0430",40,"Male","Sales",0.63,0.52,0.19,0.52,0.44
"431","V0431",44,"Female","Sales",0.67,0.57,0.67,0.53,0.25
"432","V0432",51,"Male","Medical",0.57,0.64,0.55,0.73,0.13
"433","V0433",33,"Female","Sales",0.81,0.51,0.53,0.69,0.4
"434","V0434",63,"Male","Student",0.72,0.8,0.51,0.84,0.37
"435","V0435",42,"Female","Creative",0.7,0.63,0.59,0.46,0.59
"436","V0436",45,"Male","Service Worker",0.56,0.55,0.7,0.67,0.79
"437","V0437",32,"Male","Student",0.78,0.38,0.62,0.53,0.54
"438","V0438",55,"Female","Medical",0.66,0.58,0.14,0.47,0.36
"439","V0439",40,"Male","Medical",0.51,0.16,0.59,0.61,0.56
"440","V0440",36,"Male","Sales",0.6,0.52,0.49,0.6,0.6
"441","V0441",27,"Male","Medical",0.6,0.4,0.45,0.66,0.13
"442","V0442",30,"Male","Medical",0.34,0.61,0.53,0.57,0.39
"443","V0443",55,"Female","Student",0.59,0.65,0.34,0.67,0.41
"444","V0444",18,"Female","Finance",0.59,0.45,1,0.54,0.29
"445","V0445",28,"Male","Scientist",0.69,0.41,0.57,0.58,0.5
"446","V0446",62,"Female","Service Worker",0.56,0.6,0.64,0.52,0.38
"447","V0447",43,"Female","Service Worker",0.44,0.43,0.37,0.83,0.31
"448","V0448",27,"Male","IT Specialist",0.59,0.29,0.51,0.79,0.31
"449","V0449",62,"Male","Finance",0.47,0.4,0.65,0.52,0.42
"450","V0450",32,"Female","Finance",0.45,0.63,0.27,0.65,0.49
"451","V0451",34,"Male","Service Worker",0.63,0.58,0.44,0.59,0.51
"452","V0452",64,"Male","Student",0.44,0.1,0.31,0.67,0.4
"453","V0453",25,"Female","Medical",0.62,0.37,0.59,0.6,0.46
"454","V0454",53,"Female","Sales",0.64,0.7,0.54,0.5,0.5
"455","V0455",23,"Female","Scientist",0.86,0.6,0.24,0.58,0.14
"456","V0456",27,"Female","Service Worker",0.61,0.41,0.4,0.47,0.5
"457","V0457",44,"Female","Entrepreneur",0.74,0.66,0.47,0.43,0.67
"458","V0458",37,"Female","IT Specialist",0.77,0.58,0.29,0.61,0.74
"459","V0459",42,"Female","Manager",0.69,0.58,0.57,0.67,0.89
"460","V0460",41,"Male","Medical",0.57,0.34,0.46,0.64,0.23
"461","V0461",33,"Female","IT Specialist",0.56,0.26,0.72,0.68,0.38
"462","V0462",61,"Female","Service Worker",0.65,0.39,0.4,0.64,0.83
"463","V0463",33,"Male","Finance",0.67,0.85,0.53,0.72,0.17
"464","V0464",20,"Male","Entrepreneur",0.63,0.49,0.29,0.4,0.28
"465","V0465",49,"Female","Entrepreneur",0.37,0.49,0.58,0.63,0.53
"466","V0466",38,"Male","Finance",0.73,0.53,0.43,0.83,0.48
"467","V0467",56,"Male","Creative",0.52,0.56,0.15,0.66,0.67
"468","V0468",20,"Male","Manager",0.6,0.59,0.5,0.46,0.39
"469","V0469",27,"Female","Sales",0.42,0.71,0.56,0.42,0.19
"470","V0470",38,"Male","Medical",0.84,0.66,0.63,0.72,0.66
"471","V0471",59,"Female","Service Worker",0.79,0.91,0.59,0.61,0.53
"472","V0472",24,"Female","Service Worker",0.65,0.85,0.49,0.7,0.2
"473","V0473",36,"Female","Entrepreneur",0.54,0.72,0.73,0.58,0.5
"474","V0474",46,"Male","Service Worker",0.43,0.25,0.79,0.42,0.72
"475","V0475",62,"Male","Scientist",0.61,0.79,0.26,0.8,0.65
"476","V0476",59,"Female","Finance",0.74,0.59,0.58,0.55,0.33
"477","V0477",63,"Male","Service Worker",0.58,0.67,0.53,0.71,0.45
"478","V0478",41,"Male","Sales",0.72,0.44,0.06,0.48,0.44
"479","V0479",46,"Female","Finance",0.91,0.66,0.6,0.45,0.61
"480","V0480",47,"Female","Finance",0.43,0.81,0.44,0.47,0.55
"481","V0481",60,"Female","Scientist",0.7,0.58,0.55,0.68,0.07
"482","V0482",62,"Male","Manager",0.85,0.48,0.49,0.58,0.29
"483","V0483",52,"Male","IT Specialist",0.42,0.64,0.51,0.69,0.35
"484","V0484",59,"Male","Finance",0.77,0.61,0.23,0.44,0.11
"485","V0485",51,"Male","Sales",0.15,0.54,0.27,0.48,0.19
"486","V0486",56,"Female","Scientist",0.68,0.26,0.33,0.62,0.37
"487","V0487",38,"Female","Student",0.66,0.62,0.44,0.7,0.69
"488","V0488",60,"Female","Scientist",0.48,0.55,0.62,0.68,0.55
"489","V0489",60,"Male","Student",0.39,0.6,0.43,0.72,0.34
"490","V0490",43,"Male","Finance",0.97,0.63,0.6,0.69,0.55
"491","V0491",50,"Male","Manager",0.62,0.58,0.36,0.69,0.77
"492","V0492",23,"Female","Sales",0.47,0.66,0.78,0.55,0.47
"493","V0493",40,"Male","Creative",0.92,0.57,0.5,0.6,0.53
"494","V0494",59,"Female","Finance",0.77,0.65,0.45,0.55,0.63
"495","V0495",58,"Male","Scientist",0.6,0.2,0.69,0.54,0.6
"496","V0496",61,"Female","Manager",0.72,0.68,0.41,0.6,0.77
"497","V0497",62,"Male","Scientist",0.62,0.54,0.58,0.59,0.51
"498","V0498",35,"Female","Finance",0.54,0.73,0.19,0.7,0.17
"499","V0499",64,"Male","Medical",0.54,0.17,0.33,0.54,0.39
"500","V0500",38,"Male","Finance",0.58,0.88,0.13,0.42,0.27
"501","V0501",50,"Male","Sales",0.46,0.55,0.4,0.55,0.55
"502","V0502",28,"Male","Creative",0.6,0.79,0.56,0.71,0.22
"503","V0503",57,"Male","Scientist",0.95,0.62,0.44,0.59,0.58
"504","V0504",62,"Male","Scientist",0.36,0.68,0.37,0.7,0.42
"505","V0505",31,"Male","IT Specialist",0.62,0.72,0.67,0.63,0.44
"506","V0506",19,"Male","Sales",0.75,0.41,0.35,0.64,0.71
"507","V0507",55,"Male","Creative",0.47,0.65,0.63,0.67,0.37
"508","V0508",62,"Female","Medical",0.94,0.58,0.6,0.64,0.38
"509","V0509",52,"Female","Service Worker",0.3,0.42,0.34,0.56,0.12
"510","V0510",45,"Male","Medical",0.45,0.21,0.53,0.51,0.43
"511","V0511",62,"Female","Finance",0.31,0.63,0.32,0.6,0.19
"512","V0512",33,"Female","Service Worker",0.3,0.63,0.68,0.42,0.52
"513","V0513",33,"Female","Medical",0.48,0.59,0.67,0.76,0.05
"514","V0514",62,"Male","Service Worker",0.37,0.47,0.43,0.57,0.46
"515","V0515",62,"Female","Entrepreneur",0.45,0.53,0.89,0.68,0.64
"516","V0516",25,"Female","IT Specialist",0.94,0.55,0.53,0.38,0.29
"517","V0517",62,"Female","Manager",0.56,0.62,0.6,0.56,0.83
"518","V0518",55,"Male","Entrepreneur",0.81,0.77,0.57,0.77,0.47
"519","V0519",55,"Female","Manager",0.33,0.61,0.65,0.65,0.72
"520","V0520",25,"Male","Student",0.54,0.65,0.21,0.52,0.07
"521","V0521",48,"Female","Finance",0.51,0.67,0.57,0.61,0.11
"522","V0522",54,"Male","Scientist",0.95,0.49,0.24,0.65,0.72
"523","V0523",40,"Female","Service Worker",0.53,0.51,0.6,0.67,0.23
"524","V0524",58,"Male","Scientist",0.69,0.67,0.48,0.5,0.7
"525","V0525",27,"Male","Student",0.72,0.64,0.76,0.47,0.26
"526","V0526",28,"Male","Manager",0.64,0.48,0.68,0.63,0.72
"527","V0527",44,"Female","Student",0.51,0.62,0.68,0.61,0.37
"528","V0528",40,"Female","Scientist",0.71,0.74,0.57,0.44,0.19
"529","V0529",50,"Male","Service Worker",0.73,0.59,0.36,0.56,0.27
"530","V0530",39,"Male","Scientist",0.48,0.57,0.55,0.64,0.05
"531","V0531",32,"Male","Manager",0.63,0.67,0.97,0.61,0.46
"532","V0532",21,"Male","Manager",0.47,0.74,0.51,0.54,0.39
"533","V0533",56,"Male","Medical",0.68,0.48,0.63,0.64,0.28
"534","V0534",60,"Male","IT Specialist",0.54,0.73,0.48,0.66,0.53
"535","V0535",27,"Female","Student",0.42,0.67,0.75,0.61,0.15
"536","V0536",25,"Male","Service Worker",0.69,0.65,0.47,0.67,0.4
"537","V0537",48,"Male","Student",0.54,0.74,0.39,0.53,0.84
"538","V0538",45,"Female","Student",0.74,0.55,0.79,0.6,0.61
"539","V0539",52,"Female","Sales",0.39,0.46,0.6,0.71,0.57
"540","V0540",62,"Female","Entrepreneur",0.43,0.59,0.77,0.64,0.52
"541","V0541",37,"Male","Creative",0.52,0.54,0.46,0.56,0.31
"542","V0542",65,"Male","Student",0.71,0.64,0.57,0.58,0.15
"543","V0543",25,"Female","Sales",0.58,0.64,0.77,0.58,0.33
"544","V0544",49,"Male","Medical",0.66,0.22,0.33,0.7,0.46
"545","V0545",20,"Male","Manager",0.48,0.39,0.53,0.46,0.45
"546","V0546",58,"Female","IT Specialist",0.32,0.56,0.07,0.72,0.33
"547","V0547",65,"Female","Sales",0.65,0.16,0.53,0.71,0.22
"548","V0548",28,"Female","Service Worker",0.56,0.51,0.31,0.57,0.19
"549","V0549",30,"Female","Scientist",0.88,0.32,0.4,0.66,0.09
"550","V0550",56,"Female","Medical",0.57,0.64,0.2,0.57,0.28
"551","V0551",35,"Female","Finance",0.75,0.63,0.57,0.68,0.33
"552","V0552",56,"Female","IT Specialist",0.5,0.27,0.67,0.5,0.31
"553","V0553",38,"Female","Manager",0.56,0.6,0.57,0.82,0.64
"554","V0554",22,"Female","Manager",0.8,0.46,0.52,0.59,0.53
"555","V0555",48,"Male","Manager",0.51,1,0.23,0.45,0.25
"556","V0556",37,"Male","Sales",0.64,0.39,0.26,0.55,0.79
"557","V0557",35,"Male","Creative",0.69,0.55,0.56,0.46,0.29
"558","V0558",56,"Female","Finance",0.71,0.6,0.9,0.72,0.24
"559","V0559",20,"Female","Manager",0.39,0.36,0.44,0.32,0.5
"560","V0560",65,"Male","IT Specialist",0.51,0.59,0.88,0.55,0.59
"561","V0561",25,"Male","Creative",0.55,0.26,0.41,0.53,0.39
"562","V0562",36,"Female","Sales",0.83,0.61,0.46,0.49,0.66
"563","V0563",27,"Female","Medical",0.69,0.8,0.53,0.65,0.4
"564","V0564",32,"Female","Medical",0.51,0.68,0.67,0.63,0.36
"565","V0565",29,"Female","Creative",0.62,0.68,0.89,0.51,0.85
"566","V0566",52,"Male","Sales",0.64,0.38,0.64,0.47,0.43
"567","V0567",65,"Male","IT Specialist",0.51,0.59,0.41,0.55,0.49
"568","V0568",49,"Male","Entrepreneur",0.64,0.15,0.39,0.57,0.36
"569","V0569",59,"Female","IT Specialist",0.76,0.55,0.6,0.8,0.37
"570","V0570",51,"Male","Entrepreneur",0.8,0.49,0.33,0.62,0.31
"571","V0571",57,"Male","Creative",0.69,0.55,0.4,0.68,0.52
"572","V0572",18,"Female","Entrepreneur",0.52,0.48,0.51,0.64,0.62
"573","V0573",30,"Female","Entrepreneur",0.68,0.33,0.26,0.54,0.1
"574","V0574",24,"Male","Scientist",0.76,0.57,0.72,0.61,0.3
"575","V0575",28,"Male","Student",0.7,0.55,0.54,0.42,0.31
"576","V0576",28,"Female","Medical",0.57,0.55,0.29,0.58,0.31
"577","V0577",30,"Female","Creative",0.79,0.54,0.36,0.69,0.29
"578","V0578",54,"Male","Creative",0.57,0.58,0.44,0.33,0.53
"579","V0579",51,"Female","Student",0.71,0.39,0.46,0.56,0.56
"580","V0580",32,"Male","Service Worker",0.53,0.33,0.6,0.55,0.41
"581","V0581",54,"Male","IT Specialist",0.56,0.47,0.61,0.6,0.63
"582","V0582",31,"Male","Service Worker",0.56,0.53,0.51,0.5,0.44
"583","V0583",54,"Male","Scientist",0.92,0.69,0.3,0.5,0.43
"584","V0584",43,"Female","IT Specialist",0.88,0.59,0.55,0.72,0.49
"585","V0585",45,"Male","Medical",0.56,0.29,0.39,0.73,0.78
"586","V0586",35,"Female","Student",0.57,0.49,0.39,0.77,0
"587","V0587",34,"Male","Finance",0.78,0.47,0.32,0.35,0.13
"588","V0588",56,"Male","Medical",0.62,0.69,0.77,0.73,0.32
"589","V0589",62,"Male","Service Worker",0.45,0.54,0.4,0.58,0.6
"590","V0590",51,"Male","Finance",0.8,0.69,0.81,0.58,0.44
"591","V0591",29,"Female","Entrepreneur",0.6,0.64,0.06,0.61,0.42
"592","V0592",47,"Male","Student",0.53,0.32,0.55,0.51,0.36
"593","V0593",52,"Female","Service Worker",0.56,0.77,0.65,0.61,0.51
"594","V0594",37,"Male","Entrepreneur",0.66,0.49,0.6,0.42,0.66
"595","V0595",43,"Female","Service Worker",0.56,0.73,0.53,0.52,0.41
"596","V0596",42,"Male","Sales",0.79,0.62,0.06,0.78,0.51
"597","V0597",25,"Male","Scientist",0.71,0.64,0.53,0.59,0.33
"598","V0598",37,"Male","Finance",0.71,0.61,0.65,0.57,0.57
"599","V0599",45,"Male","Scientist",0.26,0.38,0.68,0.63,0.76
"600","V0600",63,"Male","Scientist",0.74,0.65,0.37,0.59,0.43
"601","V0601",50,"Female","Manager",0.49,0.67,0.53,0.58,0.26
"602","V0602",63,"Female","Student",0.58,0.4,0.33,0.59,0.6
"603","V0603",38,"Female","IT Specialist",0.5,0.39,0.47,0.73,0.2
"604","V0604",51,"Male","Medical",0.58,0.72,0.43,0.68,0.2
"605","V0605",22,"Male","Student",0.25,0.67,0.41,0.59,0.32
"606","V0606",59,"Female","Creative",0.42,0.81,0.59,0.72,0.47
"607","V0607",29,"Male","Entrepreneur",0.81,0.58,0.62,0.63,0.4
"608","V0608",20,"Female","Medical",0.46,0.85,0.56,0.59,0.11
"609","V0609",35,"Female","Entrepreneur",0.4,0.43,0.43,0.53,0.32
"610","V0610",64,"Male","Service Worker",0.73,0.79,0.57,0.67,0.6
"611","V0611",18,"Female","Student",0.58,0.51,0.41,0.66,0.62
"612","V0612",25,"Male","Medical",0.59,0.48,0.8,0.68,0.54
"613","V0613",57,"Male","Student",0.53,0.48,0.48,0.46,0.52
"614","V0614",47,"Female","IT Specialist",0.5,0.39,0.39,0.65,0.5
"615","V0615",37,"Male","Sales",0.8,0.48,0.34,0.45,0.38
"616","V0616",51,"Male","IT Specialist",0.5,0.49,0.51,0.51,0.61
"617","V0617",38,"Male","Finance",0.41,0.51,0.57,0.62,0.57
"618","V0618",36,"Male","Medical",0.48,0.47,0.6,0.55,0.59
"619","V0619",60,"Male","Finance",0.76,0.61,0.51,0.62,0.32
"620","V0620",64,"Male","Student",0.3,0.78,0.34,0.52,0.45
"621","V0621",35,"Male","Student",0.61,0.37,0.54,0.32,0.08
"622","V0622",57,"Female","Medical",0.57,0.62,0.63,0.65,0.02
"623","V0623",41,"Female","Service Worker",0.33,0.53,0.6,0.7,0.43
"624","V0624",59,"Male","Service Worker",0.68,0.61,0.58,0.8,0.28
"625","V0625",46,"Male","Medical",0.58,0.4,0.57,0.82,0.32
"626","V0626",51,"Male","Sales",0.54,0.29,0.34,0.61,0.39
"627","V0627",39,"Male","Medical",0.84,0.62,0.64,0.47,0.58
"628","V0628",21,"Male","Manager",0.45,0.44,0.4,0.6,0.53
"629","V0629",40,"Male","Finance",0.56,0.65,1,0.66,0.68
"630","V0630",34,"Male","Service Worker",0.72,0.27,0.28,0.53,0.11
"631","V0631",61,"Male","Creative",0.37,0.65,0.39,0.67,0.54
"632","V0632",37,"Female","Finance",0.48,0.51,0.6,0.5,0.65
"633","V0633",56,"Female","Sales",0.61,0.91,0.48,0.53,0.67
"634","V0634",26,"Male","Finance",0.64,0.42,0.38,0.73,0.67
"635","V0635",36,"Male","Service Worker",0.39,0.77,0.68,0.75,0.37
"636","V0636",38,"Female","Medical",0.83,0.71,0.7,0.71,0.52
"637","V0637",60,"Male","Sales",0.58,0.46,0.82,0.46,0.48
"638","V0638",60,"Male","Medical",0.39,0.52,0.38,0.7,0.79
"639","V0639",61,"Male","Creative",0.4,0.46,0.09,0.51,0.61
"640","V0640",34,"Male","Scientist",0.74,0.57,0.66,0.67,0.28
"641","V0641",51,"Female","Manager",0.85,0.57,0.58,0.52,0.52
"642","V0642",24,"Female","Sales",0.48,0.4,0.69,0.55,0.27
"643","V0643",21,"Male","Medical",0.62,0.63,0.59,0.62,0.56
"644","V0644",62,"Male","Service Worker",0.77,0.74,0.33,0.59,0.63
"645","V0645",18,"Male","Creative",0.55,0.76,0.4,0.51,0.26
"646","V0646",45,"Female","Medical",0.56,0.38,0.58,0.59,0.36
"647","V0647",34,"Male","IT Specialist",0.43,0.54,0.73,0.65,0.57
"648","V0648",53,"Female","Student",0.6,0.46,0.66,0.68,0.49
"649","V0649",51,"Male","Creative",0.86,0.56,0.38,0.79,0.23
"650","V0650",44,"Male","Sales",0.88,0.57,0.44,0.7,0.2
"651","V0651",46,"Male","Medical",0.45,0.43,0.74,0.49,0.49
"652","V0652",43,"Male","IT Specialist",0.69,0.54,0.34,0.65,0.51
"653","V0653",38,"Female","Manager",0.83,0.71,0.16,0.63,0.45
"654","V0654",57,"Male","Student",0.68,0.53,0.57,0.64,0.81
"655","V0655",52,"Female","Service Worker",0.46,0.49,0.41,0.68,0.99
"656","V0656",30,"Male","Creative",0.72,0.64,0.53,0.7,0.91
"657","V0657",51,"Male","IT Specialist",0.41,0.58,0.35,0.67,0.1
"658","V0658",53,"Male","Creative",0.65,0.62,0.49,0.67,0.53
"659","V0659",58,"Male","Sales",0.76,0.66,0.26,0.5,0.4
"660","V0660",60,"Female","Medical",0.55,0.5,0.38,0.37,0.46
"661","V0661",45,"Male","Medical",0.51,0.5,0.33,0.68,0.45
"662","V0662",27,"Female","Finance",0.43,0.39,0.7,0.67,0.58
"663","V0663",49,"Male","Manager",0.64,0.4,0.79,0.56,0.66
"664","V0664",63,"Male","Scientist",0.8,0.68,0.29,0.59,0.51
"665","V0665",44,"Female","Manager",0.56,0.51,0.45,0.53,0.65
"666","V0666",50,"Male","Finance",0.83,0.54,0.29,0.65,0.51
"667","V0667",18,"Female","Student",0.55,0.48,0.76,0.49,0.58
"668","V0668",31,"Male","Medical",0.63,0.47,0.55,0.56,0.43
"669","V0669",49,"Male","Creative",0.56,0.66,0.49,0.6,0.5
"670","V0670",45,"Female","Finance",0.69,0.5,0.64,0.66,0.43
"671","V0671",60,"Female","Sales",0.7,0.42,0.38,0.63,0.49
"672","V0672",49,"Female","Entrepreneur",0.61,0.42,0.51,0.68,0.49
"673","V0673",58,"Male","IT Specialist",0.48,0.61,0.48,0.79,0.56
"674","V0674",47,"Male","Sales",0.79,0.3,0.39,0.54,0.48
"675","V0675",54,"Female","Medical",0.45,0.59,0.27,0.57,0.3
"676","V0676",51,"Male","Scientist",0.63,0.34,0.44,0.52,0.55
"677","V0677",58,"Male","Manager",0.34,0.48,0.76,0.51,0.31
"678","V0678",52,"Male","Student",0.72,0.36,0.72,0.93,0.85
"679","V0679",41,"Female","Student",0.5,0.82,0.73,0.59,0.2
"680","V0680",61,"Female","Student",0.62,0.65,0.75,0.43,0.83
"681","V0681",51,"Female","Sales",0.77,0.59,0.27,0.56,0.49
"682","V0682",41,"Male","IT Specialist",0.88,0.68,0.37,0.65,0.41
"683","V0683",45,"Female","Entrepreneur",0.55,0.75,0.43,0.59,0.16
"684","V0684",65,"Male","IT Specialist",0.7,0.31,0.59,0.77,0.31
"685","V0685",35,"Male","Service Worker",0.78,0.43,0.32,0.58,0.4
"686","V0686",47,"Female","Sales",0.41,0.66,0.53,0.78,0.28
"687","V0687",39,"Male","Medical",0.73,0.48,0.12,0.71,0.43
"688","V0688",43,"Female","Entrepreneur",0.34,0.61,0.45,0.65,0.39
"689","V0689",37,"Male","Manager",0.6,0.61,0.28,0.62,0.13
"690","V0690",48,"Male","Finance",0.51,0.56,0.34,0.64,0.67
"691","V0691",57,"Male","Student",0.68,0.82,0.32,0.72,0.5
"692","V0692",47,"Male","Sales",0.42,0.55,0.61,0.65,0.18
"693","V0693",25,"Female","Scientist",0.76,0.53,0.32,0.5,0.76
"694","V0694",64,"Male","Entrepreneur",1,0.64,0.62,0.54,0.47
"695","V0695",42,"Female","Entrepreneur",0.55,0.57,0.46,0.58,0.31
"696","V0696",55,"Male","IT Specialist",0.79,0.3,0.58,0.66,0.31
"697","V0697",52,"Female","Manager",0.18,0.55,0.39,0.58,0.46
"698","V0698",18,"Male","Scientist",0.7,0.37,0.46,0.58,0.51
"699","V0699",47,"Female","Manager",0.5,0.58,0.43,0.52,0.09
"700","V0700",64,"Female","IT Specialist",0.72,0.46,0.46,0.59,0.23
"701","V0701",21,"Female","Finance",0.8,0.24,0.49,0.38,0.14
"702","V0702",45,"Female","Manager",0.4,0.47,0.69,0.63,0.55
"703","V0703",58,"Male","Manager",0.55,0.53,0.34,0.63,0.57
"704","V0704",50,"Male","Manager",0.75,0.74,0.39,0.74,0.89
"705","V0705",60,"Male","Medical",0.74,0.64,0.28,0.66,0.57
"706","V0706",23,"Male","Entrepreneur",0.48,0.65,0.56,0.73,0.46
"707","V0707",37,"Female","Creative",0.61,0.61,0.55,0.5,0.58
"708","V0708",31,"Female","Service Worker",0.26,0.17,0.4,0.58,0.51
"709","V0709",26,"Female","IT Specialist",0.56,0.59,0.42,0.61,0.37
"710","V0710",45,"Male","IT Specialist",0.6,0.67,0.4,0.51,0.52
"711","V0711",48,"Male","Scientist",0.87,0.34,0.4,0.47,0.59
"712","V0712",41,"Male","Manager",0.69,0.44,1,0.57,0.15
"713","V0713",23,"Male","Sales",0.59,0.35,0.1,0.61,0.28
"714","V0714",61,"Female","Medical",0.75,0.6,0.53,0.87,0.38
"715","V0715",39,"Male","Entrepreneur",0.64,0.54,0.64,0.51,0.43
"716","V0716",28,"Male","Sales",0.72,0.71,0.36,0.72,0.64
"717","V0717",26,"Female","Finance",0.52,0.52,0.54,0.63,0.35
"718","V0718",35,"Female","IT Specialist",0.73,0.65,0.43,0.73,0.24
"719","V0719",60,"Female","Scientist",0.7,0.48,0.75,0.59,0.39
"720","V0720",36,"Female","Scientist",0.74,0.59,0.55,0.49,0.53
"721","V0721",50,"Female","Manager",0.58,0.35,0.68,0.81,0.19
"722","V0722",60,"Female","Service Worker",0.76,0.35,0.43,0.68,0.25
"723","V0723",57,"Female","Scientist",0.43,0.47,0.6,0.53,0.4
"724","V0724",28,"Female","Medical",0.44,0.6,0.52,0.6,0.21
"725","V0725",50,"Female","Creative",0.53,0.71,0.69,0.64,0.59
"726","V0726",55,"Male","Medical",0.78,0.43,0.68,0.63,0.71
"727","V0727",51,"Female","Manager",0.74,0.46,0.31,0.59,0.44
"728","V0728",63,"Female","Student",0.75,0.47,0.67,0.5,0.68
"729","V0729",54,"Male","Service Worker",0.53,0.7,0.57,0.82,0.63
"730","V0730",18,"Male","Creative",0.77,0.65,0.36,0.62,0.36
"731","V0731",47,"Female","Service Worker",0.6,0.47,0.53,0.66,0.53
"732","V0732",35,"Female","Service Worker",0.48,0.51,0.4,0.71,0.22
"733","V0733",21,"Male","Finance",0.48,0.7,0.66,0.5,0.75
"734","V0734",32,"Male","Sales",0.62,0.61,0.85,0.52,0.56
"735","V0735",24,"Female","Medical",0.89,0.83,0.64,0.55,0.71
"736","V0736",31,"Female","Medical",0.7,0.48,0.27,0.34,0.39
